Num,Name,Description,Url
54,VideoLAN,Open source believers rocking the multimedia world,https://summerofcode.withgoogle.com/programs/2023/organizations/videolan
55,Rizin,Rizin reverse engineering framework and toolset,https://summerofcode.withgoogle.com/programs/2023/organizations/rizin
56,The FreeBSD Project,FreeBSD: An OS for servers to embedded systems,https://summerofcode.withgoogle.com/programs/2023/organizations/the-freebsd-project
57,LibreOffice,LibreOffice is a free and open source office suite,https://summerofcode.withgoogle.com/programs/2023/organizations/libreoffice
58,Swift,"Fast, safe, and expressive programming language",https://summerofcode.withgoogle.com/programs/2023/organizations/swift
59,Processing Foundation,To empower all people to learn to program,https://summerofcode.withgoogle.com/programs/2023/organizations/processing-foundation
60,Kiwix,Internet content available offline.,https://summerofcode.withgoogle.com/programs/2023/organizations/kiwix
61,OpenAstronomy,Look at the Universe with the power of open source,https://summerofcode.withgoogle.com/programs/2023/organizations/openastronomy
62,CERN-HSF,Umbrella for Particle Physics-related projects,https://summerofcode.withgoogle.com/programs/2023/organizations/cern-hsf
63,MoveIt,Moving robots into the future,https://summerofcode.withgoogle.com/programs/2023/organizations/moveit
64,"Department of Biomedical Informatics, Emory University",Biomedical research to advance healthcare,https://summerofcode.withgoogle.com/programs/2023/organizations/department-of-biomedical-informatics-emory-university
65,CloudCV,Building platforms for reproducible AI Research,https://summerofcode.withgoogle.com/programs/2023/organizations/cloudcv
66,GCP Scanner,Security scanning tool for Google Cloud,https://summerofcode.withgoogle.com/programs/2023/organizations/gcp-scanner
67,Inkscape,Draw freely!,https://summerofcode.withgoogle.com/programs/2023/organizations/inkscape
68,PostgreSQL,The Most Advanced Open Source Relational Database,https://summerofcode.withgoogle.com/programs/2023/organizations/postgresql
69,OpenWISP,The Hackable Network Management System,https://summerofcode.withgoogle.com/programs/2023/organizations/openwisp
70,UC OSPO,Amplifying Research Impact through Open Source,https://summerofcode.withgoogle.com/programs/2023/organizations/uc-ospo
71,checkstyle,Helps to adheres of Java coding standard,https://summerofcode.withgoogle.com/programs/2023/organizations/checkstyle
72,Invesalius,3D Medical visualization and neuronavigation tool,https://summerofcode.withgoogle.com/programs/2023/organizations/invesalius
73,MetaBrainz Foundation Inc,"Open music / book metadata, music recommendations",https://summerofcode.withgoogle.com/programs/2023/organizations/metabrainz-foundation-inc
74,GNU Compiler Collection (GCC),GNU compilers,https://summerofcode.withgoogle.com/programs/2023/organizations/gnu-compiler-collection-gcc
75,Sugar Labs,Learning software for children,https://summerofcode.withgoogle.com/programs/2023/organizations/sugar-labs
76,MuseScore,The World’s Most Popular Music Notation Software,https://summerofcode.withgoogle.com/programs/2023/organizations/musescore
77,cBioPortal for Cancer Genomics,Aid discovery in complex cancer genomics data,https://summerofcode.withgoogle.com/programs/2023/organizations/cbioportal-for-cancer-genomics
78,Postman,The Future is API-First,https://summerofcode.withgoogle.com/programs/2023/organizations/postman
79,QEMU,Open source machine emulator and virtualizer,https://summerofcode.withgoogle.com/programs/2023/organizations/qemu
80,KubeVirt,Building a virtualization API for Kubernetes,https://summerofcode.withgoogle.com/programs/2023/organizations/kubevirt
81,ScummVM,Adventure and RPG preservation project,https://summerofcode.withgoogle.com/programs/2023/organizations/scummvm
82,Machine Learning for Science (ML4SCI),Machine learning applications in science,https://summerofcode.withgoogle.com/programs/2023/organizations/machine-learning-for-science-ml4sci
83,GitLab,Everyone can contribute,https://summerofcode.withgoogle.com/programs/2023/organizations/gitlab
84,CircuitVerse.org,Build and learn logic circuits in the cloud!,https://summerofcode.withgoogle.com/programs/2023/organizations/circuitverseorg
85,SPDX,An open ISO standard for SBOMs,https://summerofcode.withgoogle.com/programs/2023/organizations/spdx
86,Oppia Foundation,"Free platform for interactive, tutor-like lessons",https://summerofcode.withgoogle.com/programs/2023/organizations/oppia-foundation
87,Mantis,Stream Processing Platform for Operational Analytics,https://summerofcode.withgoogle.com/programs/2023/organizations/mantis
88,The Mifos Initiative,End Poverty One Line of Code at a Time,https://summerofcode.withgoogle.com/programs/2023/organizations/the-mifos-initiative
89,Apertium,A free/open-source machine translation platform,https://summerofcode.withgoogle.com/programs/2023/organizations/apertium
90,The Linux Foundation,Non-profit consortium fostering growth of Linux,https://summerofcode.withgoogle.com/programs/2023/organizations/the-linux-foundation
91,OpenStreetMap,Create and distribute free geodata for the world,https://summerofcode.withgoogle.com/programs/2023/organizations/openstreetmap
92,KDE Community,International team developing Open Source software,https://summerofcode.withgoogle.com/programs/2023/organizations/kde-community
93,Open Chemistry,Advancing Open Source & Open Science for Chemistry,https://summerofcode.withgoogle.com/programs/2023/organizations/open-chemistry
94,strace,Linux syscall tracer,https://summerofcode.withgoogle.com/programs/2023/organizations/strace
95,Qdrant,Vector Search Database for the new AI generation.,https://summerofcode.withgoogle.com/programs/2023/organizations/qdrant
96,GNU Radio,The free & open software radio ecosystem,https://summerofcode.withgoogle.com/programs/2023/organizations/gnu-radio
97,GNU Octave,Free Your Numbers,https://summerofcode.withgoogle.com/programs/2023/organizations/gnu-octave
98,Open Technologies Alliance - GFOSS,Promote Open Standards and Open Source,https://summerofcode.withgoogle.com/programs/2023/organizations/open-technologies-alliance-gfoss
99,omegaUp,Open CS Education as a catalyst for social change,https://summerofcode.withgoogle.com/programs/2023/organizations/omegaup
100,MDAnalysis,Analysis of molecular simulations data with Python,https://summerofcode.withgoogle.com/programs/2023/organizations/mdanalysis
101,NumFOCUS,NumFOCUS promotes open source scientific software.,https://summerofcode.withgoogle.com/programs/2023/organizations/numfocus
102,Ste||ar group,Shaping a Scalable Future,https://summerofcode.withgoogle.com/programs/2023/organizations/stear-group
103,AFLplusplus,State of the art fuzzing for better security,https://summerofcode.withgoogle.com/programs/2023/organizations/aflplusplus
104,CHIPS Alliance,"Open source IP, tools & standards for ASIC/FPGA",https://summerofcode.withgoogle.com/programs/2023/organizations/chips-alliance
105,Git,"Fast,Scalable,Distributed revision control system",https://summerofcode.withgoogle.com/programs/2023/organizations/git
106,FFmpeg,"Record, convert and stream audio & video",https://summerofcode.withgoogle.com/programs/2023/organizations/ffmpeg
107,Internet Archive,Universal Access to All Knowledge,https://summerofcode.withgoogle.com/programs/2023/organizations/internet-archive
108,Pitivi,Allowing self-expression through film-making,https://summerofcode.withgoogle.com/programs/2023/organizations/pitivi
109,Plone Foundation,"Python-based CMS, with React front-end.",https://summerofcode.withgoogle.com/programs/2023/organizations/plone-foundation
110,X.Org Foundation,"X Window System and related projects (Mesa, DRI, Wayland, etc.)",https://summerofcode.withgoogle.com/programs/2023/organizations/xorg-foundation
111,The ns-3 Network Simulator Project,ns-3 is a simulation tool for computer networks.,https://summerofcode.withgoogle.com/programs/2023/organizations/the-ns-3-network-simulator-project
112,The JPF team,JPF is a special JVM for software verification,https://summerofcode.withgoogle.com/programs/2023/organizations/the-jpf-team
113,BRL-CAD,3D CAD & other computer-aided tech (CAx),https://summerofcode.withgoogle.com/programs/2023/organizations/brl-cad
114,R project for statistical computing,R software for statistical computing & graphics,https://summerofcode.withgoogle.com/programs/2023/organizations/r-project-for-statistical-computing
115,CCExtractor Development,"TV, Rust, Flutter, Linux, VR and C. In any order.",https://summerofcode.withgoogle.com/programs/2023/organizations/ccextractor-development
116,freifunk,Free and open wireless networks,https://summerofcode.withgoogle.com/programs/2023/organizations/freifunk
117,52°North Spatial Information Research GmbH,Innovative ideas & technologies in geoinformatics,https://summerofcode.withgoogle.com/programs/2023/organizations/52north-spatial-information-research-gmbh
118,INCF,An open & FAIR neuroscience standards organization,https://summerofcode.withgoogle.com/programs/2023/organizations/incf
119,MIT App Inventor,Anyone can build apps with global impact.,https://summerofcode.withgoogle.com/programs/2023/organizations/mit-app-inventor
120,FreeCAD,Cross-platform 3D parametric modeler,https://summerofcode.withgoogle.com/programs/2023/organizations/freecad
121,Fortran-lang,High-performance parallel programming language,https://summerofcode.withgoogle.com/programs/2023/organizations/fortran-lang
122,PEcAn Project,Develop and promote tools for ecosystem modeling,https://summerofcode.withgoogle.com/programs/2023/organizations/pecan-project
123,Django Software Foundation,Web framework for perfectionists with deadlines,https://summerofcode.withgoogle.com/programs/2023/organizations/django-software-foundation-8o
124,XMPP Standards Foundation,XSF develops an open-standard messaging protocol,https://summerofcode.withgoogle.com/programs/2023/organizations/xmpp-standards-foundation
125,Wagtail,The powerful Python CMS for modern websites,https://summerofcode.withgoogle.com/programs/2023/organizations/wagtail
126,mlpack,"a fast, flexible machine learning library",https://summerofcode.withgoogle.com/programs/2023/organizations/mlpack
127,gprMax,Simulating electromagnetic wave propagation,https://summerofcode.withgoogle.com/programs/2023/organizations/gprmax
128,"Stratosphere Laboratory, Czech Technical University in Prague",Using machine learning and security to help others,https://summerofcode.withgoogle.com/programs/2023/organizations/stratosphere-laboratory-czech-technical-university-in-prague
129,OpenMRS,"Write Code, Save Lives.",https://summerofcode.withgoogle.com/programs/2023/organizations/openmrs
130,Society for Arts and Technology (SAT),Create teleimmersive multisensorial experiences.,https://summerofcode.withgoogle.com/programs/2023/organizations/society-for-arts-and-technology-sat
131,Pharo Consortium,Modern and innovative programming language,https://summerofcode.withgoogle.com/programs/2023/organizations/pharo-consortium
132,SCoRe Lab,SCoRe Lab develops FOSS softwares for everyone!!!,https://summerofcode.withgoogle.com/programs/2023/organizations/score-lab
133,The Tor Project,Defend yourself against tracking and surveillance.,https://summerofcode.withgoogle.com/programs/2023/organizations/the-tor-project
134,Global Alliance for Genomics and Health,We develop genomics tools to benefit human health,https://summerofcode.withgoogle.com/programs/2023/organizations/global-alliance-for-genomics-and-health
135,International Catrobat Association,Free visual coding apps for computational thinking,https://summerofcode.withgoogle.com/programs/2023/organizations/international-catrobat-association
136,MZmine and MS-DIAL,Open-source software for mass spectrometry,https://summerofcode.withgoogle.com/programs/2023/organizations/mzmine-and-ms-dial
137,Replay.io,The time-travel debugger for the web,https://summerofcode.withgoogle.com/programs/2023/organizations/replayio
138,Internet Health Report,Monitoring the Internet,https://summerofcode.withgoogle.com/programs/2023/organizations/internet-health-report
139,Free and Open Source Silicon Foundation,Working together for Free and Open Source Silicon,https://summerofcode.withgoogle.com/programs/2023/organizations/free-and-open-source-silicon-foundation
140,Genome Assembly and Annotation,Providing freely accessible genomic data,https://summerofcode.withgoogle.com/programs/2023/organizations/genome-assembly-and-annotation
141,Dart,Dart is a client language for apps on any platform,https://summerofcode.withgoogle.com/programs/2023/organizations/dart
142,Learning Equality,Equity in education to transform lives,https://summerofcode.withgoogle.com/programs/2023/organizations/learning-equality
143,Carbon Language,An experimental successor to C++,https://summerofcode.withgoogle.com/programs/2023/organizations/carbon-language
144,The NetBSD Foundation,Of course it runs NetBSD,https://summerofcode.withgoogle.com/programs/2023/organizations/the-netbsd-foundation
145,Purr Data,Realtime Audio/Visual Programming Environment,https://summerofcode.withgoogle.com/programs/2023/organizations/purr-data
146,MariaDB,The fastest growing Open Source Database,https://summerofcode.withgoogle.com/programs/2023/organizations/mariadb
147,Jenkins,"Jenkins, build great things at any scale",https://summerofcode.withgoogle.com/programs/2023/organizations/jenkins-wp
148,The Julia Language,A fresh approach to technical computing,https://summerofcode.withgoogle.com/programs/2023/organizations/the-julia-language
149,rocket.chat,Open source team chat and communications platform,https://summerofcode.withgoogle.com/programs/2023/organizations/rocketchat
150,Software and Computational Systems Lab at LMU Munich,"Software Verification, SAT & SMT solving",https://summerofcode.withgoogle.com/programs/2023/organizations/software-and-computational-systems-lab-at-lmu-munich
151,SageMath,Open-source mathematics software system,https://summerofcode.withgoogle.com/programs/2023/organizations/sagemath
152,Apache Software Foundation,Open source software to the public free of charge,https://summerofcode.withgoogle.com/programs/2023/organizations/apache-software-foundation
153,OpenVINO Toolkit,Make AI inference faster and easier to deploy!,https://summerofcode.withgoogle.com/programs/2023/organizations/openvino-toolkit
154,Mixxx,DJ Mixing App With Powerful Features For All DJs,https://summerofcode.withgoogle.com/programs/2023/organizations/mixxx
155,The ENIGMA Team,A free rapid game development environment.,https://summerofcode.withgoogle.com/programs/2023/organizations/the-enigma-team
156,Unikraft,Unikraft is a fast and secure unikernel SDK,https://summerofcode.withgoogle.com/programs/2023/organizations/unikraft
157,Metasploit,World’s most used penetration testing framework,https://summerofcode.withgoogle.com/programs/2023/organizations/metasploit
158,JdeRobot,Toolkit for developing Robotics applications,https://summerofcode.withgoogle.com/programs/2023/organizations/jderobot
159,OpenCV,++ beneficial uses of computer vision in society,https://summerofcode.withgoogle.com/programs/2023/organizations/opencv
160,DBpedia,Global and Unified Access to Knowledge Graphs.,https://summerofcode.withgoogle.com/programs/2023/organizations/dbpedia
161,Scala Center,Guide and support the Scala community,https://summerofcode.withgoogle.com/programs/2023/organizations/scala-center
162,SQLancer,Automatically testing database systems,https://summerofcode.withgoogle.com/programs/2023/organizations/sqlancer
163,Submitty,Homework Autograding and Course Management Tools,https://summerofcode.withgoogle.com/programs/2023/organizations/submitty
164,RTEMS Project,A real-time operating system for Earth & Space,https://summerofcode.withgoogle.com/programs/2023/organizations/rtems-project
165,SymPy,SymPy is a Python library for symbolic mathematics,https://summerofcode.withgoogle.com/programs/2023/organizations/sympy
166,coreboot,"Fast, secure and flexible BIOS firmware",https://summerofcode.withgoogle.com/programs/2023/organizations/coreboot
167,Python Software Foundation,A programming language used for science & more,https://summerofcode.withgoogle.com/programs/2023/organizations/python-software-foundation
168,GeomScale,Scalable geometric and statistical software,https://summerofcode.withgoogle.com/programs/2023/organizations/geomscale
169,BeagleBoard.org,Open hardware computing for educators and makers,https://summerofcode.withgoogle.com/programs/2023/organizations/beagleboardorg
170,Kotlin Foundation,Advance the Kotlin programming language,https://summerofcode.withgoogle.com/programs/2023/organizations/kotlin-foundation
171,The Honeynet Project,Honeypots and Threat Intelligence R&D,https://summerofcode.withgoogle.com/programs/2023/organizations/the-honeynet-project
