ONo,Name,Desc,Url,Nb Tech,Nb Topics,Org link,Guidance link
132,Joplin,The secure note taking application,https://summerofcode.withgoogle.com/programs/2022/organizations/joplin,2,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
133,TensorFlow,TensorFlow is a ML framework for everyone.,https://summerofcode.withgoogle.com/programs/2022/organizations/tensorflow,1,1
134,SCoRe Lab,SCoRe Lab develops FOSS softwares for everyone!!!,https://summerofcode.withgoogle.com/programs/2022/organizations/score-lab,3,2,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
137,Drupal Association,The best open source digital experience platform,https://summerofcode.withgoogle.com/programs/2022/organizations/drupal-association,5,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
140,Open Technologies Alliance - GFOSS,Promote Open Standards and Open Source,https://summerofcode.withgoogle.com/programs/2022/organizations/open-technologies-alliance-gfoss,5,1
146,Joomla!,The flexible platform empowering website creators.,https://summerofcode.withgoogle.com/programs/2022/organizations/joomla,6,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
152,Processing Foundation,To empower all people to learn to program,https://summerofcode.withgoogle.com/programs/2022/organizations/processing-foundation,3,2,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
153,Purr Data,Realtime Audio/Visual Programming Environment,https://summerofcode.withgoogle.com/programs/2022/organizations/purr-data,3,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
155,Learning Equality,Equity in education to transform lives,https://summerofcode.withgoogle.com/programs/2022/organizations/learning-equality,4,2,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
156,National Resource for Network Biology (NRNB),Developing open source tools for network biology,https://summerofcode.withgoogle.com/programs/2022/organizations/national-resource-for-network-biology-nrnb,3,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
160,Society for Arts and Technology (SAT),Create teleimmersive multisensorial experiences.,https://summerofcode.withgoogle.com/programs/2022/organizations/society-for-arts-and-technology-sat,4,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
162,Sugar Labs,Learning software for children,https://summerofcode.withgoogle.com/programs/2022/organizations/sugar-labs,2,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
166,Python Software Foundation,A programming language used for science & more,https://summerofcode.withgoogle.com/programs/2022/organizations/python-software-foundation,4,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
171,The Tor Project,Defend yourself against tracking and surveillance.,https://summerofcode.withgoogle.com/programs/2022/organizations/the-tor-project,2,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
177,LibreHealth,Healthcare for Humanity,https://summerofcode.withgoogle.com/programs/2022/organizations/librehealth,3,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
182,libssh,The SSH library,https://summerofcode.withgoogle.com/programs/2022/organizations/libssh,1,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
185,Metasploit,World’s most used penetration testing framework,https://summerofcode.withgoogle.com/programs/2022/organizations/metasploit,3,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
186,Free and Open Source Silicon Foundation,Working together for Free and Open Source Silicon,https://summerofcode.withgoogle.com/programs/2022/organizations/free-and-open-source-silicon-foundation,1,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
187,CircuitVerse.org,Build and learn logic circuits in the cloud!,https://summerofcode.withgoogle.com/programs/2022/organizations/circuitverseorg,2,2,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
188,Scala Center,Guide and support the Scala community,https://summerofcode.withgoogle.com/programs/2022/organizations/scala-center,2,1
193,Orcasound,Humans & AI listening together to save the whales.,https://summerofcode.withgoogle.com/programs/2022/organizations/orcasound,3,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
198,Mayor's Office of New Urban Mechanics,Exploring new approaches to civic life.,https://summerofcode.withgoogle.com/programs/2022/organizations/mayors-office-of-new-urban-mechanics,3,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
