Org No,Name,Desc,Url,Technologies,Topics,My Score,Org Score,Org link,Guidance link
130,Society for Arts and Technology (SAT),Create teleimmersive multisensorial experiences.,https://summerofcode.withgoogle.com/programs/2023/organizations/society-for-arts-and-technology-sat,"javascript, python, c++",web,31.25,40.0,https://sat.qc.ca,https://sat-mtl.gitlab.io/collaborations/google-summer-of-code/posts/2023-share/
132,SCoRe Lab,SCoRe Lab develops FOSS softwares for everyone!!!,https://summerofcode.withgoogle.com/programs/2023/organizations/score-lab,python,"security, web",10.416666666666668,35.0,https://scorelab.org/,https://docs.google.com/document/d/e/2PACX-1vQNktFwuGciuaVLiHHVJwdfIu9ll8RIR0BcE4PNytKHLiZb14sqNe6CE1xWskCVf7hlnAMz3qLgPPFV/pub
133,The Tor Project,Defend yourself against tracking and surveillance.,https://summerofcode.withgoogle.com/programs/2023/organizations/the-tor-project,"python, c",security,20.833333333333336,35.0,https://www.torproject.org/,https://gitlab.torproject.org/tpo/team/-/wikis/How-To-Apply-to-Google-Summer-of-Code
134,Global Alliance for Genomics and Health,We develop genomics tools to benefit human health,https://summerofcode.withgoogle.com/programs/2023/organizations/global-alliance-for-genomics-and-health,python,web,10.416666666666668,20.0,https://ga4gh.org,https://docs.google.com/document/d/1_lOqTxbC-Vl2KS2uwyJk9FEkZMQCbOaoZ1c2bgOTfAw/edit?usp=sharing
135,International Catrobat Association,Free visual coding apps for computational thinking,https://summerofcode.withgoogle.com/programs/2023/organizations/international-catrobat-association,"javascript, php",education,20.833333333333336,30.0,https://www.catrobat.org,https://catrob.at/gsoc23
142,Learning Equality,Equity in education to transform lives,https://summerofcode.withgoogle.com/programs/2023/organizations/learning-equality,"javascript, python",education,20.833333333333336,37.5,https://learningequality.org/,https://docs.google.com/document/d/1-qmZ2CBl_WSw2s6oxH417y03Gudx8bFMSKG7IreB6JY/edit?usp=sharing
145,Purr Data,Realtime Audio/Visual Programming Environment,https://summerofcode.withgoogle.com/programs/2023/organizations/purr-data,"javascript, c",web,20.833333333333336,37.5,https://www.purrdata.net/,https://git.purrdata.net/jwilkes/summer-of-code-ideas-list/-/blob/master/student_app.md
151,SageMath,Open-source mathematics software system,https://summerofcode.withgoogle.com/programs/2023/organizations/sagemath,python,education,10.416666666666668,41.66666666666667,https://www.sagemath.org,https://wiki.sagemath.org/GSoC/Students
157,Metasploit,World’s most used penetration testing framework,https://summerofcode.withgoogle.com/programs/2023/organizations/metasploit,"python, c",security,20.833333333333336,32.5,https://metasploit.com,https://github.com/rapid7/metasploit-framework/wiki/How-to-Apply-to-GSoC
158,JdeRobot,Toolkit for developing Robotics applications,https://summerofcode.withgoogle.com/programs/2023/organizations/jderobot,python,education,10.416666666666668,20.0,http://jderobot.github.io,https://jderobot.github.io/activities/gsoc/2023#application-instructions-for-gsoc-2023
163,Submitty,Homework Autograding and Course Management Tools,https://summerofcode.withgoogle.com/programs/2023/organizations/submitty,"javascript, python, php, c++","education, web",41.66666666666667,60.0,https://submitty.org,https://submitty.org/developer/google_summer_of_code
167,Python Software Foundation,A programming language used for science & more,https://summerofcode.withgoogle.com/programs/2023/organizations/python-software-foundation,"javascript, python, c++",security,31.25,47.5,https://python-gsoc.org/,https://python-gsoc.org/index.html#gettingstarted
